,precision,recall,f1-score,support
hard,0.8679245283018868,0.8363636363636363,0.8518518518518519,55.0
medium,0.6923076923076923,0.375,0.4864864864864865,24.0
soft,0.9356060606060606,0.9840637450199203,0.9592233009708738,251.0
accuracy,0.9151515151515152,0.9151515151515152,0.9151515151515152,0.9151515151515152
macro avg,0.8319460937385466,0.7318091271278523,0.7658538797697374,330.0
weighted avg,0.9066313784366957,0.9151515151515152,0.9069472002158087,330.0
